Name of Player,Position,Team,Games Played,At Bats,Runs,Hits,Doubles,Triples,HomeRuns,RBI,Walks,Strike Outs,Stolen Bases,Caught Stealing,Average,On Base Percentage,Slugging,On Base plus Slugging
Magneuris Sierra,CF,MIA,19,44,8,11,3,1,0,7,5,9,4,1,0.25,0.333,0.364,0.697
Chad Wallach,C,MIA,15,44,4,10,3,0,1,6,3,12,0,0,0.227,0.277,0.364,0.64
Matt Davidson,X,CIN,20,43,3,7,1,0,3,11,4,13,0,0,0.163,0.234,0.395,0.629
Jake Lamb,1B,ARI,18,43,2,5,1,0,0,1,6,17,0,1,0.116,0.24,0.14,0.38
Tyler Heineman,C,SF,15,42,3,8,1,0,0,1,4,6,1,0,0.19,0.292,0.214,0.506
Chris Owings,2B,COL,17,41,9,11,1,0,2,5,3,11,1,0,0.268,0.318,0.439,0.757
Andrew Stevenson,LF,WSH,15,41,11,15,7,1,2,12,5,11,2,0,0.366,0.447,0.732,1.179
Drew Butera,C,COL,28,39,4,6,2,0,0,4,2,11,0,0,0.154,0.19,0.205,0.396
Lewin Diaz,1B,MIA,14,39,2,6,2,0,0,3,2,12,0,0,0.154,0.195,0.205,0.4
Phillip Evans,3B,PIT,11,39,6,14,2,0,1,9,5,7,0,1,0.359,0.444,0.487,0.932
Francisco Mejia,C,SD,17,39,5,3,1,0,1,2,1,9,0,0,0.077,0.143,0.179,0.322
Manny Pina,C,MIL,15,39,4,9,1,0,2,5,3,11,0,0,0.231,0.333,0.41,0.744
Neil Walker,DH,PHI,18,39,5,9,3,0,0,3,1,13,0,0,0.231,0.244,0.308,0.552
Tyrone Taylor,RF,MIL,22,38,6,9,4,0,2,6,2,8,0,0,0.237,0.293,0.5,0.793
Eddy Alvarez,2B,MIA,12,37,6,7,1,0,0,2,3,16,2,0,0.189,0.268,0.216,0.484
Pavin Smith,1B,ARI,12,37,7,10,0,1,1,4,5,8,1,0,0.27,0.341,0.405,0.746
Mark Mathias,X,MIL,16,36,2,10,3,0,0,4,0,7,1,0,0.278,0.278,0.361,0.639
Josh Naylor,DH,SD,18,36,4,10,0,1,1,4,1,4,1,0,0.278,0.316,0.417,0.732
Lane Thomas,RF,STL,18,36,5,4,2,0,1,2,4,13,0,0,0.111,0.2,0.25,0.45
Phillip Ervin,X,CIN,19,35,5,3,0,0,0,0,6,8,1,0,0.086,0.238,0.086,0.324
Rangel Ravelo,DH,STL,13,35,5,6,1,0,1,6,4,6,0,0,0.171,0.244,0.286,0.53
Matt Wieters,C,STL,19,35,3,7,1,0,0,4,3,10,0,0,0.2,0.3,0.229,0.529
Steven Duggar,LF,SF,21,34,3,6,2,0,0,3,1,11,1,0,0.176,0.222,0.235,0.458
Logan Forsythe,2B,MIA,12,34,2,4,1,0,1,2,4,12,0,0,0.118,0.211,0.235,0.446
Edward Olivares,LF,SD,13,34,4,6,1,0,1,3,2,14,0,1,0.176,0.222,0.294,0.516
Guillermo Heredia,CF,NYM,15,33,6,7,0,0,2,5,3,9,1,0,0.212,0.278,0.394,0.672
Jake Marisnick,CF,NYM,16,33,4,11,3,0,2,5,1,10,0,0,0.333,0.353,0.606,0.959
Robinson Chirinos,C,NYM,12,32,1,7,2,0,1,5,1,9,0,0,0.219,0.242,0.375,0.617
Billy Hamilton,CF,CHC,31,32,10,4,0,0,1,2,2,7,6,2,0.125,0.171,0.219,0.39
Yoenis Cespedes,DH,NYM,8,31,3,5,1,0,2,4,2,15,0,0,0.161,0.235,0.387,0.622
Albert Almora,CF,CHC,28,30,4,5,1,0,0,1,3,9,0,0,0.167,0.265,0.2,0.465
Ildemaro Vargas,2B,CHC,14,29,3,5,0,0,1,1,1,8,0,0,0.172,0.2,0.276,0.476
Jason Castro,C,SD,9,28,3,5,5,0,0,3,2,10,0,0,0.179,0.233,0.357,0.59
Wyatt Mathisen,3B,ARI,9,27,5,6,0,0,2,5,5,12,0,0,0.222,0.364,0.444,0.808
Steven Souza Jr.,X,CHC,11,27,3,4,2,0,1,5,4,15,1,0,0.148,0.258,0.333,0.591
Yadiel Hernandez,DH,WSH,12,26,3,5,3,0,1,6,1,12,0,0,0.192,0.214,0.423,0.637
Jorge Mateo,X,SD,22,26,4,4,3,0,0,2,1,11,1,0,0.154,0.185,0.269,0.454
Andy Young,2B,ARI,12,26,3,5,2,0,1,4,5,10,0,0,0.192,0.382,0.385,0.767
Logan Morrison,DH,MIL,9,25,3,3,1,0,1,2,3,8,0,0,0.12,0.214,0.28,0.494
Jesus Sanchez,RF,MIA,10,25,1,1,1,0,0,2,4,11,0,0,0.04,0.172,0.08,0.252
Tomas Nido,C,NYM,7,24,4,7,1,0,2,6,2,6,0,0,0.292,0.346,0.583,0.93
Christian Colon,2B,CIN,11,23,3,3,1,0,0,2,1,3,1,0,0.13,0.167,0.174,0.341
Isan Diaz,2B,MIA,7,22,3,4,0,0,0,1,0,7,0,0,0.182,0.182,0.182,0.364
Kyle Garlick,LF,PHI,12,22,0,3,1,0,0,3,0,7,0,0,0.136,0.174,0.182,0.356
Jose Martinez,X,CHC,10,21,0,0,0,0,0,0,1,7,0,0,0,0.045,0,0.045
Daniel Robertson,SS,SF,13,21,4,7,0,0,0,2,3,6,0,0,0.333,0.417,0.333,0.75
Brendan Rodgers,X,COL,7,21,1,2,1,0,0,2,0,6,0,0,0.095,0.095,0.143,0.238
Lorenzo Cain,CF,MIL,5,18,4,6,1,0,0,2,3,2,0,0,0.333,0.429,0.389,0.818
Mark Payton,X,CIN,8,18,0,3,1,0,0,0,2,5,1,0,0.167,0.25,0.222,0.472
Kevin Cron,DH,ARI,8,17,0,0,0,0,0,0,1,7,0,0,0,0.15,0,0.15
Jake Noll,X,WSH,7,17,2,6,1,0,0,0,0,4,0,0,0.353,0.353,0.412,0.765
Max Schrock,X,STL,11,17,1,3,0,0,1,1,0,6,0,0,0.176,0.176,0.353,0.529
Tyler Stephenson,X,CIN,8,17,4,5,0,0,2,6,2,9,0,0,0.294,0.4,0.647,1.047
